value,id
1101,1
2101,2
2201,3
2301,4
3101,5
3201,6
3301,7
4101,8
4102,9
4106,10
4201,11
4301,12
5101,13
5301,14
5401,15
5501,16
5502,17
5601,18
5604,19
5701,20
6101,21
6102,22
6104,23
6106,24
6108,25
6111,26
6112,27
6113,28
6115,29
6116,30
6117,31
6201,32
6301,33
6303,34
7101,35
7102,36
7109,37
7201,38
7301,39
7401,40
7402,41
8101,42
8102,43
8103,44
8106,45
8107,46
8108,47
8110,48
8111,49
8112,50
8201,51
8202,52
8203,53
8205,54
8301,55
8304,56
8305,57
8306,58
8401,59
8406,60
9101,61
9102,62
9103,63
9105,64
9108,65
9111,66
9201,67
9202,68
9203,69
9210,70
9211,71
10101,72
10102,73
10105,74
10106,75
10107,76
10201,77
10202,78
10301,79
10305,80
11101,81
11201,82
11301,83
11401,84
12101,85
12301,86
12401,87
13101,88
14107,89
14201,90
