value,id
Arica,1
Tocopilla,2
Antofagasta,3
Calama,4
Chanaral,5
Copiapo,6
Vallenar,7
La Serena,8
La Higuera,9
Paihuano,10
Ovalle,11
Illapel,12
Isla de Pascua,13
Valparaiso,14
San Antonio,15
Quillota,16
Nogales,17
San Felipe,18
Putaendo,19
Los Andes,20
Rancagua,21
Machali,22
San Francisco de Mostazal,23
Coltauco,24
Peumo,25
Pichidegua,26
Rengo,27
Requinoa,28
Malloa,29
Coinco,30
Quinta de Tilcoco,31
San Fernando,32
Pichilemu,33
Litueche,34
Curico,35
Teno,36
Sagrada Familia,37
Talca,38
Linares,39
Cauquenes,40
Pelluhue,41
Chillan,42
Pinto,43
Coihueco,44
Portezuelo,45
Cobquecura,46
Trehuaco,47
Niquen,48
San Fabian,49
San Nicolas,50
Concepcion,51
Penco,52
Hualqui,53
Tome,54
Arauco,55
Los Alamos,56
Canete,57
Contulmo,58
Los Angeles,59
Negrete,60
Angol,61
Puren,62
Los Sauces,63
Collipulli,64
Lumaco,65
Lonquimay,66
Temuco,67
Vilcun,68
Freire,69
Saavedra,70
Pitrufquen,71
Valdivia,72
Mariquina,73
Futrono,74
Corral,75
Mafil,76
Osorno,77
San Pablo,78
Puerto Montt,79
Frutillar,80
Aysen,81
Chile Chico,82
Cochrane,83
Coihaique,84
Natales,85
Porvenir,86
Cabo de Hornos,87
Santiago,88
Quinta Normal,89
Colina,90
