year,geography_unit,geography_id,weighted_mean_income,weighted_median_income,weighted_gini_income,lb_weighted_mean_income,ub_weighted_mean_income,lb_weighted_median_income,ub_weighted_median_income,lb_weighted_gini_income,ub_weighted_gini_income
2015,2,1,311744,186166,0.504,293834,326188,180213,190000,0.483,0.528
2015,2,2,304387,225027,0.425,292216,317578,216755,233333,0.41,0.439
2015,2,3,251503,180416,0.422,246216,257170,177293,183854,0.413,0.43
2015,2,4,220107,154500,0.426,215679,223521,152385,157254,0.418,0.433
2015,2,5,263825,177547,0.449,259583,269230,175225,179897,0.442,0.458
2015,2,6,230110,167779,0.419,225858,236233,165983,169932,0.409,0.43
2015,2,7,206142,147500,0.431,199833,212423,145950,149743,0.418,0.446
2015,2,8,214797,145958,0.441,210991,218403,144830,147648,0.434,0.447
2015,2,9,201536,134000,0.457,193511,216670,131886,136465,0.438,0.493
2015,2,10,208571,146045,0.422,204676,213871,145257,149092,0.413,0.434
2015,2,11,297086,203334,0.439,286622,306395,197746,214714,0.425,0.453
2015,2,12,337856,230750,0.442,321726,355318,226610,237500,0.426,0.463
2015,2,13,336773,205523,0.492,330653,342540,203420,206793,0.486,0.498
2015,2,14,240906,153333,0.468,234725,248777,150093,156038,0.458,0.482
2015,2,15,226338,160102,0.424,217094,236815,156380,163027,0.407,0.439
2011,2,1,224118,159916,0.441,217564,231576,156424,159919,0.43,0.454
2011,2,2,290707,193244,0.462,280386,304311,184988,196476,0.449,0.473
2011,2,3,224673,149928,0.466,217688,230808,145743,152885,0.455,0.478
2011,2,4,176725,123438,0.434,169647,193000,117580,125875,0.416,0.472
2011,2,5,204684,131224,0.484,198211,211738,128642,134140,0.471,0.496
2011,2,6,187564,133902,0.406,181987,200861,129454,138685,0.391,0.439
2011,2,7,169628,112494,0.455,163537,173864,110151,113874,0.443,0.465
2011,2,8,182591,110907,0.51,173419,192097,107107,113741,0.493,0.533
2011,2,9,178557,100104,0.526,170511,185954,98207,104088,0.511,0.543
2011,2,10,192282,117670,0.493,185467,207559,113003,122079,0.475,0.526
2011,2,11,282774,162339,0.512,273239,295803,159776,167225,0.5,0.53
2011,2,12,303222,185611,0.498,288069,322454,178234,194928,0.479,0.522
2011,2,13,294509,154525,0.544,286016,304456,152608,157102,0.535,0.557
2011,2,14,183907,113071,0.493,178223,192413,111500,116030,0.48,0.508
2011,2,15,196077,130789,0.468,186079,206730,124531,135854,0.444,0.491
2009,2,1,178037,132654,0.425,170014,188647,125370,135583,0.409,0.448
2009,2,2,204852,145233,0.403,197318,212638,141910,149898,0.389,0.418
2009,2,3,171768,129958,0.433,164564,180719,123357,133361,0.418,0.451
2009,2,4,158747,104444,0.454,153584,164622,101363,107339,0.442,0.469
2009,2,5,190075,120306,0.484,182759,198986,116760,123213,0.469,0.502
2009,2,6,169035,112646,0.444,165626,172579,110856,114694,0.436,0.452
2009,2,7,155599,94869,0.502,149178,162416,93555,96667,0.486,0.518
2009,2,8,153825,100000,0.476,150061,157639,98705,101392,0.465,0.489
2009,2,9,136117,82201,0.523,131298,141917,80392,83678,0.509,0.538
2009,2,10,171192,110106,0.475,166490,177933,107763,112194,0.459,0.494
2009,2,11,230819,127765,0.546,211485,246152,123025,136780,0.52,0.567
2009,2,12,239028,163507,0.491,204895,308352,153033,173257,0.422,0.595
2009,2,13,287131,149579,0.562,279884,293069,148033,151486,0.553,0.569
2009,2,14,140955,92121,0.477,134425,149057,88724,95508,0.461,0.495
2009,2,15,186978,133305,0.434,174232,201344,127046,139979,0.397,0.469
2006,2,1,146302,109943,0.427,139134,153801,103525,115731,0.406,0.452
2006,2,2,178177,122431,0.452,167468,187544,116019,128132,0.428,0.472
2006,2,3,168341,111764,0.462,159604,178237,109021,118528,0.445,0.483
2006,2,4,123658,77661,0.49,118954,127794,75381,79324,0.477,0.505
2006,2,5,139839,87522,0.487,136389,144909,86248,89215,0.477,0.502
2006,2,6,131736,85627,0.465,128745,135863,84132,87421,0.456,0.476
2006,2,7,120587,76682,0.487,117053,123902,75237,77288,0.475,0.498
2006,2,8,124369,75405,0.509,122094,126388,74153,76017,0.502,0.515
2006,2,9,120049,70780,0.519,117080,124179,69576,72837,0.508,0.531
2006,2,10,150452,93775,0.489,145287,157871,92252,96159,0.474,0.512
2006,2,11,160440,117833,0.44,153789,169569,111442,121200,0.423,0.456
2006,2,12,203355,125646,0.493,184652,225740,117958,134216,0.453,0.534
2006,2,13,219055,116658,0.552,214314,222721,114685,118064,0.544,0.558
2003,2,1,120020,72941,0.496,111893,130726,64636,79510,0.474,0.521
2003,2,2,139477,100555,0.447,132798,146361,97000,104090,0.43,0.463
2003,2,3,104826,73482,0.464,99945,109630,68818,75803,0.448,0.479
2003,2,4,120374,67052,0.549,114817,127204,65787,69512,0.532,0.571
2003,2,5,112643,75226,0.462,109544,115685,73899,77554,0.45,0.475
2003,2,6,110621,72584,0.466,107542,114059,70000,74496,0.458,0.478
2003,2,7,101523,59694,0.523,96097,107985,58278,60913,0.499,0.548
2003,2,8,108591,60883,0.544,105971,112221,60230,61944,0.532,0.556
2003,2,9,112376,55342,0.592,105750,124887,53160,57500,0.569,0.634
2003,2,10,115213,64179,0.54,111737,119647,63009,65373,0.526,0.554
2003,2,11,161907,91407,0.538,147997,173306,84298,98907,0.517,0.561
2003,2,12,185610,80717,0.648,142155,280131,72529,86273,0.545,0.763
2003,2,13,192269,96147,0.58,187037,197922,94824,98013,0.57,0.589
2000,2,1,128332,62146,0.584,110542,149185,58655,67757,0.534,0.633
2000,2,2,161299,93246,0.521,152501,170833,88931,97536,0.498,0.548
2000,2,3,95100,60000,0.48,90816,101200,57510,62740,0.465,0.501
2000,2,4,107038,61372,0.536,99197,119820,59894,62955,0.504,0.581
2000,2,5,120715,75563,0.502,116359,126579,73503,77543,0.49,0.517
2000,2,6,104672,64471,0.5,100702,108375,62542,66646,0.485,0.518
2000,2,7,114720,59345,0.577,108567,120228,58347,60859,0.558,0.598
2000,2,8,118620,58456,0.595,113216,128574,56529,59959,0.58,0.618
2000,2,9,112350,49681,0.616,105848,121065,48438,50598,0.599,0.637
2000,2,10,102331,55925,0.551,98421,107409,54437,57157,0.537,0.569
2000,2,11,138028,85445,0.523,128482,150931,77850,89300,0.487,0.551
2000,2,12,125590,71240,0.5,114657,140406,68827,76088,0.467,0.542
2000,2,13,154025,81227,0.561,150401,158505,80000,82955,0.551,0.57
1998,2,1,96777,70990,0.455,90575,107790,61918,77884,0.427,0.486
1998,2,2,138465,77811,0.521,130249,149300,76559,80874,0.496,0.542
1998,2,3,90621,55737,0.491,85696,95588,53075,57598,0.471,0.508
1998,2,4,94690,54337,0.536,90526,100146,52685,55772,0.522,0.557
1998,2,5,114197,64368,0.523,111162,118071,62614,66518,0.515,0.535
1998,2,6,98207,53728,0.536,94627,100728,52903,54755,0.524,0.547
1998,2,7,94706,53418,0.521,91165,99308,52386,55101,0.508,0.535
1998,2,8,108956,54562,0.57,105848,113428,53409,56492,0.558,0.583
1998,2,9,118477,52996,0.609,111952,124492,50187,57179,0.588,0.627
1998,2,10,103089,57199,0.544,97316,108875,54888,59371,0.525,0.561
1998,2,11,153194,76748,0.596,134336,178713,73029,80256,0.546,0.644
