"","comuna_name","year","geography_unit","weighted_mean_income","weighted_median_income","weighted_gini_income","lb_weighted_mean_income","ub_weighted_mean_income","lb_weighted_median_income","ub_weighted_median_income","lb_weighted_gini_income","ub_weighted_gini_income"
"1","Algarrobo",1994,3,54308,37844,0.442,47803,60088,35511,40297,0.39,0.479
"2","Algarrobo",2011,3,204239,146662,0.415,160912,255140,121669,194862,0.32,0.493
"3","Algarrobo",2006,3,131887,86816,0.455,119261,147957,79823,92953,0.412,0.49
"4","Algarrobo",1998,3,95018,67150,0.426,88480,103076,63066,73826,0.401,0.453
"5","Algarrobo",2000,3,87069,58355,0.486,77819,100103,53776,60170,0.447,0.549
"6","Algarrobo",2009,3,176408,124503,0.401,155374,209060,120129,134822,0.333,0.492
"7","Algarrobo",2003,3,95171,62576,0.484,85974,109003,53023,67679,0.447,0.521
"8","Algarrobo",1996,3,68146,50000,0.416,62832,74308,45987,53904,0.385,0.447
"9","Alhué",1994,3,43569,26775,0.485,39494,49249,24977,28454,0.445,0.528
"10","Alhué",2006,3,98306,67969,0.414,85751,116491,66370,71257,0.335,0.507
"11","Alhué",1992,3,29595,20911,0.408,28084,31337,20028,22670,0.391,0.429
"12","Alhué",2000,3,65280,50000,0.415,62256,68899,48693,54086,0.391,0.441
"13","Alhué",2009,3,185363,139137,0.443,168581,202971,121824,142117,0.411,0.479
"14","Alhué",1990,3,25139,14496,0.511,22406,30914,13191,15593,0.456,0.589
"15","Alhué",2003,3,71801,49743,0.452,63431,84018,47830,51046,0.384,0.53
"16","Alhué",1998,3,62637,44192,0.456,57806,69329,41232,45562,0.424,0.49
"17","Alhué",2011,3,149400,117605,0.323,131197,168401,105722,123917,0.261,0.382
"18","Alto Bío Bío",2011,3,140871,104199,0.4,116345,208024,94255,119009,0.297,0.577
"19","Alto Bío Bío",2009,3,71889,43944,0.542,64987,80786,40687,48652,0.51,0.581
"20","Alto Bío Bío",2006,3,58555,40551,0.467,54826,62825,39404,44000,0.447,0.49
"21","Alto del Carmen",1994,3,41985,16871,0.635,35416,49871,15653,19151,0.584,0.689
"22","Alto del Carmen",1998,3,54955,39507,0.404,51862,58461,36933,42878,0.377,0.419
"23","Alto del Carmen",1992,3,26967,19896,0.419,25200,29036,18020,20244,0.394,0.446
"24","Alto del Carmen",2003,3,74666,55810,0.423,67002,80435,52577,61516,0.383,0.461
"25","Alto del Carmen",2009,3,144552,113148,0.346,136325,156394,105694,125732,0.324,0.369
"26","Alto del Carmen",2011,3,164892,109299,0.418,148814,183063,101756,114990,0.385,0.443
"27","Alto del Carmen",2006,3,143798,90049,0.469,126483,164957,84777,100608,0.404,0.536
"28","Alto del Carmen",2000,3,63640,46650,0.43,59011,68253,43770,49760,0.403,0.456
"29","Alto Hospicio",2011,3,162613,119795,0.405,154828,168617,112972,125113,0.39,0.419
"30","Alto Hospicio",2009,3,145941,112799,0.367,137739,156462,107108,122287,0.345,0.389
"31","Alto Hospicio",2015,3,183234,148083,0.358,177897,189126,144793,151964,0.345,0.372
"32","Alto Hospicio",2006,3,108489,66828,0.475,95904,124601,64998,70882,0.423,0.53
"33","Ancud",2011,3,195153,140000,0.448,179337,209489,131696,149119,0.425,0.472
"34","Ancud",2003,3,62830,42661,0.425,57238,70392,39819,46914,0.386,0.474
"35","Ancud",2015,3,205299,141500,0.439,190249,221138,133995,149627,0.41,0.474
"36","Ancud",2000,3,76388,45347,0.49,68625,86129,43382,49244,0.444,0.533
"37","Ancud",2009,3,171954,120284,0.412,157441,187859,115749,129047,0.376,0.458
"38","Ancud",2006,3,167580,115010,0.442,155641,178632,110089,119430,0.423,0.457
"39","Andacollo",1996,3,73273,44747,0.486,69059,78355,42979,48194,0.466,0.514
"40","Andacollo",1994,3,56413,39645,0.424,53783,59120,39036,41588,0.408,0.439
"41","Andacollo",2011,3,223695,194334,0.368,207538,243841,169733,228386,0.326,0.404
"42","Andacollo",2000,3,87111,64078,0.426,82645,92072,61054,69770,0.408,0.442
"43","Andacollo",1992,3,47162,27972,0.484,44010,49777,26441,29388,0.459,0.504
"44","Andacollo",2009,3,167765,128475,0.42,155154,180833,120121,133424,0.389,0.444
"45","Andacollo",2006,3,85261,64621,0.393,79444,94351,62283,69804,0.359,0.451
"46","Andacollo",2003,3,104870,74358,0.455,97038,113602,70151,78277,0.421,0.488
"47","Andacollo",1990,3,28383,18667,0.497,26561,30392,18270,19368,0.465,0.525
"48","Andacollo",1998,3,93084,62035,0.492,85566,102741,58248,63920,0.458,0.529
"49","Angol",2011,3,199968,123819,0.48,186868,217108,112735,136422,0.456,0.503
"50","Angol",2009,3,110106,76296,0.493,99853,123127,69067,79713,0.449,0.531
"51","Angol",2003,3,135774,64843,0.559,124434,152887,57500,74100,0.525,0.582
"52","Angol",1990,3,41712,21325,0.573,38449,45776,19802,22166,0.545,0.612
"53","Angol",1992,3,42546,28885,0.439,40937,44343,27874,29700,0.423,0.456
"54","Angol",1994,3,78892,44345,0.545,72701,84730,42165,45556,0.518,0.572
"55","Angol",2006,3,129855,82406,0.529,115053,147836,71111,84790,0.489,0.568
"56","Angol",2015,3,182921,133717,0.422,173770,193291,125548,142674,0.402,0.44
"57","Angol",1996,3,102592,52777,0.548,96280,111713,49527,57910,0.529,0.568
"58","Angol",2000,3,177459,83333,0.608,161721,205121,76867,91667,0.578,0.647
"59","Angol",1998,3,178108,91155,0.585,159303,199622,84852,97528,0.553,0.618
"60","Antofagasta",2011,3,292626,184912,0.47,280673,309298,177787,195274,0.454,0.489
"61","Antofagasta",2000,3,69988,44696,0.44,62849,78173,43858,52524,0.4,0.483
"62","Antofagasta",2015,3,303158,222474,0.428,287542,320485,211580,235372,0.404,0.451
"63","Antofagasta",2003,3,106629,83391,0.4,101330,114123,77850,91752,0.374,0.421
"64","Antofagasta",1998,3,93715,60302,0.485,85624,103500,55608,68048,0.452,0.519
"65","Antofagasta",2006,3,184200,127031,0.456,169847,199255,120162,131543,0.427,0.49
"66","Antofagasta",2009,3,195383,143149,0.385,188481,203075,138315,148290,0.366,0.401
"67","Antofagasta",1994,3,48555,32630,0.46,45313,51808,29850,34367,0.44,0.479
"68","Antofagasta",1992,3,42469,28338,0.494,37352,48750,25879,29911,0.434,0.552
"69","Antofagasta",1996,3,91324,52854,0.513,82810,101481,45917,59453,0.471,0.547
"70","Antuco",2009,3,128528,72426,0.573,112245,144488,65339,75688,0.528,0.618
"71","Antuco",2000,3,100973,70890,0.431,95231,106933,68219,73355,0.411,0.448
"72","Antuco",2003,3,111559,77560,0.451,104687,117861,73650,83520,0.431,0.471
"73","Antuco",1998,3,89092,61299,0.454,84225,93423,56920,63701,0.436,0.473
"74","Antuco",2006,3,93423,65932,0.408,85870,100932,60720,73635,0.377,0.434
"75","Antuco",2011,3,142272,94710,0.464,114634,187476,81583,101728,0.345,0.574
"76","Antuco",1996,3,74917,49945,0.44,71083,79600,48333,51532,0.418,0.46
"77","Antuco",1990,3,42279,25254,0.511,38400,46899,24153,27735,0.466,0.55
"78","Antuco",1992,3,33444,25286,0.422,31465,34931,23426,26322,0.402,0.437
"79","Antuco",1994,3,64197,43660,0.461,59770,68111,40829,46719,0.441,0.48
"80","Arauco",2011,3,103866,89135,0.363,94361,113336,85751,90554,0.33,0.396
"81","Arauco",2015,3,167223,134094,0.377,156176,181906,121765,146099,0.343,0.403
"82","Arauco",2009,3,193246,100845,0.555,149394,259746,92194,117988,0.434,0.661
"83","Arauco",2000,3,84935,53333,0.499,77030,94659,46601,57145,0.464,0.529
"84","Arauco",2006,3,85567,66582,0.367,80132,90641,62361,68379,0.34,0.391
"85","Arauco",1992,3,27438,20171,0.394,26018,28816,18068,21872,0.378,0.406
"86","Arauco",2003,3,59600,43521,0.435,55162,65470,41741,45306,0.399,0.46
"87","Arauco",1994,3,32289,26915,0.373,30287,34314,25226,27946,0.345,0.404
"88","Arica",2015,3,229364,160716,0.424,219822,241762,157441,164464,0.408,0.442
"89","Arica",2011,3,195826,131003,0.467,184503,218991,124720,135054,0.44,0.519
"90","Arica",2009,3,187383,133937,0.433,175652,202115,127046,142787,0.402,0.461
"91","Aysén",2009,3,173873,121550,0.449,161012,188150,111421,133965,0.423,0.483
"92","Aysén",2006,3,158614,110827,0.43,146222,171801,102577,118743,0.399,0.457
"93","Aysén",2011,3,241520,148591,0.499,226193,260393,141810,160511,0.474,0.525
"94","Aysén",1992,3,65604,34786,0.586,52975,88349,30335,36146,0.502,0.686
"95","Aysén",2000,3,122481,66573,0.576,101187,144966,59352,68942,0.504,0.644
"96","Aysén",2015,3,241555,167255,0.402,230705,257261,162574,179402,0.386,0.429
"97","Aysén",2003,3,109173,77280,0.435,100982,119973,69160,82148,0.401,0.47
"98","Aysén",1994,3,59651,36654,0.481,54927,66077,34585,37864,0.447,0.523
